seed,experiment,n_samples,n_pos,n_features_after_dummies,auprc,roc_auc,brier,balanced_accuracy,f1,threshold,tn,fp,fn,tp
42,baseline_only,41,12,8,0.4337819132205789,0.5919540229885057,0.2588488378858995,0.6163793103448276,0.5,0.4574796618464121,14,15,3,9
42,raw_only(+baseline),41,12,29,0.3969842876092876,0.5689655172413792,0.2655355044294526,0.6264367816091954,0.5,0.4795661153720817,17,12,4,8
42,composite_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
42,raw+composite(+baseline),41,12,35,0.45608026537302854,0.5862068965517241,0.24744173170280812,0.6436781609195402,0.5161290322580645,0.4801323755986336,18,11,4,8
42,composite_w(temporal=1.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
42,composite_w(temporal=1.5)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.24289768907446083,0.6637931034482758,0.5217391304347826,0.5798061758767263,24,5,6,6
42,composite_w(temporal=2.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2429832665861024,0.6637931034482758,0.5217391304347826,0.5798385889360436,24,5,6,6
42,composite_w(temporal=3.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.24311001520025022,0.6637931034482758,0.5217391304347826,0.5798714860829334,24,5,6,6
42,composite_w(coherence=1.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
42,composite_w(coherence=1.5)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2424932000617475,0.6637931034482758,0.5217391304347826,0.5795543209930831,24,5,6,6
42,composite_w(coherence=2.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.24226929062226385,0.6637931034482758,0.5217391304347826,0.5793456716749356,24,5,6,6
42,composite_w(coherence=3.0)_only(+baseline),41,12,14,0.47423662250137827,0.5977011494252873,0.24194250384007834,0.6637931034482758,0.5217391304347826,0.5789445577842409,24,5,6,6
42,composite_w(reflection=1.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
42,composite_w(reflection=1.5)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.24289768907446083,0.6637931034482758,0.5217391304347826,0.5798061758767263,24,5,6,6
42,composite_w(reflection=2.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2429832665861024,0.6637931034482758,0.5217391304347826,0.5798385889360436,24,5,6,6
42,composite_w(reflection=3.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.24311001520025022,0.6637931034482758,0.5217391304347826,0.5798714860829334,24,5,6,6
42,composite_w(language=1.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
42,composite_w(language=1.5)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.24282892235072998,0.6637931034482758,0.5217391304347826,0.5797740224359277,24,5,6,6
42,composite_w(language=2.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2428639051054617,0.6637931034482758,0.5217391304347826,0.5797914152761032,24,5,6,6
42,composite_w(language=3.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.24292769947355924,0.6637931034482758,0.5217391304347826,0.5798187348619153,24,5,6,6
42,composite_w(perspective=1.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
